title,description,label,label_num
the Metro Lions names new head coach ahead of upcoming season,"In the marathon organizing committee, the metro lions names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
the City Wolves extends winning streak to ten consecutive matches,"In the tennis grand slam, the city wolves extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
Germany: Parliament faces growing pressure over border security policy,Germany parliament faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
South Korea: The president faces criticism over handling of refugee crisis,South Korea the president faces criticism over handling of refugee crisis as officials react to unfolding developments across the region.,World,0
Bluepeak Motors shares surge after positive investor forecast,"Bluepeak Motors shares surge after positive investor forecast, according to a statement released to investors this week.",Business,2
Australia: Parliament expands military cooperation with allied states,Australia parliament expands military cooperation with allied states as officials react to unfolding developments across the region.,World,0
A robotics startup unveil new chip design promising faster processing speeds,"A robotics startup unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Canada: The prime minister announces new trade agreement with neighboring nations,Canada the prime minister announces new trade agreement with neighboring nations as officials react to unfolding developments across the region.,World,0
A university research group unveil new chip design promising faster processing speeds,"A university research group unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Meridian Foods announces merger with rival firm worth billions,"Meridian Foods announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Germany: The ruling party signs peace accord after months of negotiation,Germany the ruling party signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Nigeria: Parliament hosts international summit on climate cooperation,Nigeria parliament hosts international summit on climate cooperation as officials react to unfolding developments across the region.,World,0
Silverline Bank reports stronger than expected quarterly earnings,"Silverline Bank reports stronger than expected quarterly earnings, according to a statement released to investors this week.",Business,2
Space agency officials develop breakthrough battery technology for electric vehicles,"Space agency officials develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
the Highland Bears faces suspension following controversial match incident,"In the cricket board, the highland bears faces suspension following controversial match incident, drawing reaction from fans and analysts alike.",Sports,1
the United Strikers sets new record at this year's tournament,"In the world championship, the united strikers sets new record at this year's tournament, drawing reaction from fans and analysts alike.",Sports,1
the National Eagles sets new record at this year's tournament,"In the regional basketball association, the national eagles sets new record at this year's tournament, drawing reaction from fans and analysts alike.",Sports,1
the Falcons announces star player's return after injury,"In the cricket board, the falcons announces star player's return after injury, drawing reaction from fans and analysts alike.",Sports,1
Meridian Foods cuts thousands of jobs amid restructuring plan,"Meridian Foods cuts thousands of jobs amid restructuring plan, according to a statement released to investors this week.",Business,2
the Metro Lions wins gold medal in stunning comeback performance,"In the national football league, the metro lions wins gold medal in stunning comeback performance, drawing reaction from fans and analysts alike.",Sports,1
Germany: The defense secretary announces new trade agreement with neighboring nations,Germany the defense secretary announces new trade agreement with neighboring nations as officials react to unfolding developments across the region.,World,0
the Coastal Sharks names new head coach ahead of upcoming season,"In the marathon organizing committee, the coastal sharks names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
Turkey: The president signs peace accord after months of negotiation,Turkey the president signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Brazil: The un envoy announces new trade agreement with neighboring nations,Brazil the UN envoy announces new trade agreement with neighboring nations as officials react to unfolding developments across the region.,World,0
Turkey: Parliament imposes new sanctions amid diplomatic tensions,Turkey parliament imposes new sanctions amid diplomatic tensions as officials react to unfolding developments across the region.,World,0
Space agency officials warn of security flaw affecting millions of devices,"Space agency officials warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
A university research group publish study on new method for detecting diseases early,"A university research group publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
the Riverside Warriors clinches dramatic victory in final minutes,"In the marathon organizing committee, the riverside warriors clinches dramatic victory in final minutes, drawing reaction from fans and analysts alike.",Sports,1
A robotics startup test new material that could improve solar panel efficiency,"A robotics startup test new material that could improve solar panel efficiency, in a development described as significant by the field.",Sci/Tech,3
Italy: The foreign minister calls for emergency session following regional unrest,Italy the foreign minister calls for emergency session following regional unrest as officials react to unfolding developments across the region.,World,0
A team of developers warn of security flaw affecting millions of devices,"A team of developers warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
the Highland Bears wins gold medal in stunning comeback performance,"In the national football league, the highland bears wins gold medal in stunning comeback performance, drawing reaction from fans and analysts alike.",Sports,1
An artificial intelligence firm publish study on new method for detecting diseases early,"An artificial intelligence firm publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
Scientists unveil new chip design promising faster processing speeds,"Scientists unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Mexico: The un envoy signs peace accord after months of negotiation,Mexico the UN envoy signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
South Korea: The ruling party reaches ceasefire agreement in long-running conflict,South Korea the ruling party reaches ceasefire agreement in long-running conflict as officials react to unfolding developments across the region.,World,0
Scientists warn of security flaw affecting millions of devices,"Scientists warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
Space agency officials develop breakthrough battery technology for electric vehicles,"Space agency officials develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
Scientists launch satellite mission to study distant galaxies,"Scientists launch satellite mission to study distant galaxies, in a development described as significant by the field.",Sci/Tech,3
India: The defense secretary hosts international summit on climate cooperation,India the defense secretary hosts international summit on climate cooperation as officials react to unfolding developments across the region.,World,0
the Riverside Warriors suffers unexpected defeat in opening round,"In the regional basketball association, the riverside warriors suffers unexpected defeat in opening round, drawing reaction from fans and analysts alike.",Sports,1
Meridian Foods unveils plans for major expansion overseas,"Meridian Foods unveils plans for major expansion overseas, according to a statement released to investors this week.",Business,2
the City Wolves faces suspension following controversial match incident,"In the regional basketball association, the city wolves faces suspension following controversial match incident, drawing reaction from fans and analysts alike.",Sports,1
the City Wolves suffers unexpected defeat in opening round,"In the cricket board, the city wolves suffers unexpected defeat in opening round, drawing reaction from fans and analysts alike.",Sports,1
Space agency officials unveil new chip design promising faster processing speeds,"Space agency officials unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Space agency officials develop breakthrough battery technology for electric vehicles,"Space agency officials develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
the Metro Lions advances to the championship after extra-time win,"In the Olympic committee, the metro lions advances to the championship after extra-time win, drawing reaction from fans and analysts alike.",Sports,1
Scientists publish study on new method for detecting diseases early,"Scientists publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
A university research group warn of security flaw affecting millions of devices,"A university research group warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
Vertex Energy Corp faces regulatory scrutiny over pricing practices,"Vertex Energy Corp faces regulatory scrutiny over pricing practices, according to a statement released to investors this week.",Business,2
A team of developers develop breakthrough battery technology for electric vehicles,"A team of developers develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
the City Wolves wins gold medal in stunning comeback performance,"In the national football league, the city wolves wins gold medal in stunning comeback performance, drawing reaction from fans and analysts alike.",Sports,1
Mexico: The foreign minister expands military cooperation with allied states,Mexico the foreign minister expands military cooperation with allied states as officials react to unfolding developments across the region.,World,0
Researchers unveil new chip design promising faster processing speeds,"Researchers unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Vertex Energy Corp raises interest rate outlook amid inflation concerns,"Vertex Energy Corp raises interest rate outlook amid inflation concerns, according to a statement released to investors this week.",Business,2
the United Strikers names new head coach ahead of upcoming season,"In the marathon organizing committee, the united strikers names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
Vertex Energy Corp reports stronger than expected quarterly earnings,"Vertex Energy Corp reports stronger than expected quarterly earnings, according to a statement released to investors this week.",Business,2
Space agency officials unveil new chip design promising faster processing speeds,"Space agency officials unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Egypt: The foreign minister announces new trade agreement with neighboring nations,Egypt the foreign minister announces new trade agreement with neighboring nations as officials react to unfolding developments across the region.,World,0
